Alas;Indo;Domain
cube jelas ken kune mahan kalak nadi mecekhok ni waktu tertentu;;Instructions
kune cakhe ne sesuatu nemu menjadi pengaruh paling belin ni saat kamu nukokh bakhang dan kae alasen ne cube jelas ken secara singkat;;Story/narrative
cube jelas ken kune pendapat mu cakhe mahanni tampilan aplikasi nde menjadi lebih baik tule;;Story/narrative
cube jelas ken kune cakhe ne kite garammi si kite garammi;;Instructions
cube jelas ken kune biase ne tekhjadi sesuatu ni dalam pekhubaten;;Story/narrative
cube jelas ken kune cakhe mu menolong kalak tanpa bahan ye makhase pamrih;;Instructions
kune cakhe ne kamu mahani sesuatu tanpa kalak lain;;Instructions
cube jelas ken kune cakhe mu jumpe khut sahabat mu ni suatu situasi udan;;Story/narrative
cekhiteken tentang kune pengalamen mu mengguneken aplikasi ikata nde;;Story/narrative
cube sebut ken kae kae plin si mengganjal ni pikekhen mu sendah nde;;Story/narrative
cube jelas ken menukhut pendapet mu sendikhi tentang LGBT;;Story/narrative
cube sebut ken kune cakhe mu menggambarken dikhi mu sendikhi;;Story/narrative
menukhut mu, kae sebab ne gagasan khilafah menuai kontroversi ni Indonesia;;History
menukhut mu, apakeh sistem pemerintah saat nde  enggo tepat untuk Indonesia;;Story/narrative
menukhut mu, kae kae plin hal si pekhlu ni perbaiki ni Indonesia nde;;Story/narrative
menukhut mu, kae sebab ne Indonesia ni kate ken sebagai negakhe hukum;;History
menukhut mu, kae kae plin si dapet ni satu ken ni Indonesia nde;;History
cekhite ken kune bahasa nemu mempersatu kite;;Culture/Tourism
menukhut mu, apekah bahasa indonesia nemu jadi salah satu Bahasa internasional;;Culture/Tourism
kune sebab  ne kamu nemu sangat mengas be kalak lain;;Story/narrative
kae kae plin hal si get ate mu dan cube sebut ken kae kae plin si malet get ate mu;;Story/narrative
ise jeme si get ate mu ni dunie nde, dan kae sebab ne gat get ate mu;;Story/narrative
jelas ken kune khase  ne  menjadi juakhe atau pe nemu mencapai sesuatu;;Story/narrative
jelas ken tentang benda si paling get ate mu;;Story/narrative
menukhut mu kae sebab ne beberapa kalak menjadi hewan buas sebagai pelihara an nya;;Story/narrative
kae kau ucapken malet, pas suatu wakhi die keni laus me bedih;;Story/narrative
kune pendapet kao tentang kondisi kas kau mebahan ni petalite ne;;Story/narrative
menukhutmu kune date date ni alami ni internet diproses;;Story/narrative
kae plin prekuensi si kau alami selame kau geluh;;Story/narrative
menukhutmu, kae plin hal si ebahan kao bedi ni antakhe kalak lain;;Story/narrative
cekhiteken segale hal si menjadi impienmu ni kas hadi diw;;Story/narrative
kune bahanen mu khut imbang tim mu dapet mebahani suatu hal lebih baim;;Story/narrative
kae ngat kalak dapet tawe bahagie kite Odah gedi kalihen iye hedi;;Story/narrative
te kau nulis buah buku, tentang kae buku edi kap mu,e gwdi cekhite ken;;Story/narrative
kune cakhe kau mencape tujuenmu tekhe naleme sunguh sunguh kae si mi inginken ze pas kan;;Instructions
kae kao nagat jadi Tandai kalak bagas hal kae kune ngat gedi;;Story/narrative
pige dokho kau khut keluarga mu kae mase cut mu lebih baik dari khayak,en kalak;;Story/narrative
kae kau khapet khut mekmu kune kae hubungen anatkhe kau khut mekmu;;Story/narrative
kae kao dokho dengan wakmu kune kae hubungen anatkhe kau khut wak ku;;Story/narrative
umpame kao khut aken menjalin hubungen khut kalak kae plin hal si harus pasangen mu ketaui dakhi dirimu;;Story/narrative
cekhiteken kejadian paling meleken Bagas geluhmu si kau kap Heidi;;Story/narrative
kae plin hal si kau nagati dakhi pasangen mu iye pas imbang mecekhok walau pe die iye sakiti ne sendah kami ngo mekhamah tule bage due senang ne kukap yah aseak;;Story/narrative
menukhutmu hak kae plin si dak nemu menjadi mahan lucon nimu jas ne fedu iye bahan;;Story/narrative
umpame salah buah keluarge mu akhus nadingken, mate ise si paling sulit kau tekhime kae ngat nemu gedi;;Story/narrative
menukhutmu kau lebih baik lot sen si malet akan habis atau masih sayang si endak tekhindakh kae ngat nemu kao pilih edi;;Story/narrative
dape si lebih penting buah kao, hubungen khut imbang atau pasangen?;;Story/narrative
kau lebih memilih kalak si jujukh atau si mekhagai pasangen mu walai artine akhus bual kae ngat gedi;;Story/narrative
hal kae plin si enggo kau lakuken, tapi sebenarnya kau melahap endak penah melakukenne;;Story/narrative
nasehat tebaik kae plin si penah kau dapet dakhi kalak lain;;Story/narrative
kae plin si kau lakuken untuk memenangkan dikhi sendikhi saat sedang mengas;;Story/narrative
misal ni momen ende selukhuh kalak ni dunie pokus hanyae megeken ucapen mu kae plin hal si nagat sampeken;;Story/narrative
kau pecaye takdikh atau manusie si mengendalikan dikhi sendikhi kune seperti edi;;Story/narrative
cekhiteken kae plin lebih mu kae neleme main bola jago aku mebahan pe lumayan lah gedi aku kune ngat mu di;;Story/narrative
cekhiteken kae si kekurangan mu malet aku ukhok bergaul kakhene nakhen ni Khumah amin aku da;;Story/narrative
kae kau sennagi ketike imbang mu bagiken penanggan atau lelo dengan mu kene kau mekhase senang;;Story/narrative
menukhutmu, kune cakhene hewan mecekhok kune kau pikekhise gedi edi;;Story/narrative
malet kutoh bedih nage gedi olin lah ngo malet kune da kune nine neg id plin mi;;Story/narrative
kurang kutoh da maksa su iye bahan se kae me ngat gedj iye nu;;Story/narrative
menukhutmu kae plin hal terbaik tentang alamo oye;;Culture/Tourism
kae plin kembang yang kau bahani bahagie ni bagas mencinte uang me ulang me nage ni cube b;;Story/narrative
kae plin hal si aku ingin ken bane gdi di akahai nu kau mene;;Story/narrative
kau pe ogeis kadang peache aku mbane kakhene oye amin si tuhu ne oagas ajd;;Story/narrative
ngo kah lau kau amin si tuhu ni ni bagas hwluh ku kme h hwsbwj;;Story/narrative
hansg aku sjumpe khut iye pagi oalin lah ngi kakhne aku pali nagw bahagwwb akanwg aku akaha akah akahav akaha w jagsgs akahw;;Story/narrative
hal kaw si biasen di kas ne ngadu geud me kita kauag p nagsw;;Story/narrative
kune pandemhansg ajahah jsjshsh ajshsbey aku pe malet nage ingin mbamu kakhen kau ngo mbali khut iye si aku tandai iye jabav;;Story/narrative
kune men nale mde aku pe malet kutoh nae biding te hedi nate mu ame lae aju tih nae bdihng yang nde aku pe nalet nLe nage oangae;;Story/narrative
kune cakhene mu daleti anak akahu mekukke di nu aku pe me kune aku nonkl malet knyk kalaj bbanhku ndw;;Story/narrative
kune teknologi bekerja kjne pe sah aku malet paham aku nda kane gwkej dapey poy nahagw ki nada kau pe;;Story/narrative
kune kau putusken ingei nikoh kae nde die pagi neku kau pe aajdi ahsv;;Instructions
menukhutmu mu aku nde kune mejile atu pe nomo cube me kai sebyt ken me be bangku ndw yab gekej;;Story/narrative
ape ku pameh aku pecaye su bahan ne yah gan ane mau jual cekhok alas da ni ande yoh;;Story/narrative
kune cakhe kau menyeleseken bisa dek kapal si ksu ong nagati kae ulah manusia si aku dapet sen pe malet me sen aku tidak;;Story/narrative
menukhutmu kae plin si kau lakuken untuk mengisi posisi sebagai berikut nde aku nde kae nalem me;;Story/narrative
kune kao siapken ngat kekhine be the house of blues y nna di dunia e waktu daling e wa w;;Story/narrative
kae ngat gedi kin ngat gedi me di dunia e waktu daling e khutung imbang dan sekali;;Story/narrative
bagaimana sejakhah jadi alat bantu kite pagi mebahan ni adih ko aku bsbw bahas kune ken nu las;;Story/narrative
menukhutmu kao kune mase depan mu teknologi nde nage ku aku mahani skripsi akall kane khayak sen ku;;Story/narrative
kune kao nagat malet nagat sakyukh aku nagat june kinue aku pe nagat su pe;;Story/narrative
kae me ngat gedi nu aku pe malet kutoh nae biding masal idi ne ngat nimu aju pe heus;;Story/narrative
kune lebih ne ate ku mbamu ngat gedi kau bahan aku nde yah kjne ken june bahan yeh iye plin;;Story/narrative
menukhutmu kae plin si kau lakuken untuk mengisi waktu kite pas kiye layu kau b bsh;;Instructions
kune pe die aku sedang ni bawan nde jage itik aju kjne ken nu edi kin amin si ku naget ken;;Instructions
cekhiteken kau mahanw ni adih die adi aku pe pagi majan ji las mi maj ak ep dhi aku bahan iye kine me gesi nu;;Story/narrative
kune cakhen pagini aku pe malet nge toh ne aku pe gedu pagi oas iye ni adih da aku pe hei;;Story/narrative
kune me ngat hei nu aku pe maley yang tidak bsai aku pe lot namu aku oe gedu;;Instructions
kune cakhen aku pe ukhok gedi ne aju pe kau kjne aku gedni aku kje;;Story/narrative
kune naleme pengalene ku aku gende pemgalen ku kau kune aku gedi kau deni aku beg;;Story/narrative
kune cakhen aku pe malet kutih nde kjne bahsn ku aju mwsg bauebey yang bisa aju oe maley kutih nde kau kune kad pau;;Instructions
kjne nalem le aku hedi aku gedi aku j uanehegw aku pswgdi aku nsge aku gedi kau gte aku pewgdi au lah vsu bage;;Instructions
ngo da kau me gedu mimu malet pendek pe pendem nomu aku gedu di da mlaet paham aku kau lah di khut tuna ne aku pe maket kutjh siehy;;Instructions
najan ku tahayk omnang ku anahna kune cjnet aku oeh aku pe hddi ngd iebsjehe sjshsh ABS;;Story/narrative
tekeh die pagi gedi aku bajan kune ken iye amin kas ku mebeku te ken ousaj veje;;Instructions
aplikasi nde undang imbang akhus nemu sen 100 si kene undang,eedjd neh;;Story/narrative
mebahan gedi anin kau bahab ne bahani edi da kau oe geid nge diw da aju;;Story/narrative
kae kau tukoh kae nale me si ku tilj aedi amjn ku tih kau kune cakhen aku maley kutih edi me da kine ken hal amin si iey nye kene w;;Story/narrative
saleken kune cakhen iye najan oye hedi kahseh ahshsh kune ken aku n akune ken akune aku b sheg;;Instructions
kune ken malet kawin malet nae aku ongei kale kune ken iye makn ansh yenmjeb edi ken oe ale me kune men;;Instructions
kune cakhen aku cakhj iye ni qmjadi ken bshsg kune en;;Story/narrative
kunekene edi amkn ante ku ni bahs edi nahe kuenwg kine ken male me aku oe hei ku bahan ohe;;Story/narrative
malet nae khayak dapet sen seo nagat gane nde nage aku me oe heio yes pe oagi aku laus iye pe;;Story/narrative
kae nelem me aku gedi jimu aku oe hei cuvu ne aku oe pagi iye pagi kaus gdi da kine ken me edi nu diu;;Story/narrative
alah dili malet nae khayajj su aku oe gedi iye aku oe heu jaheg kev;;Instructions
hap ku nayekeu due untuk kau untuk aju gedj aku pe si dak aku inget ken akuepe gedj nste u kau me kalak ku ken;;History
kae gune ne aku laus bedih iye akn pe kas kune bahwne aku pe gedi die kauamkn si aku kuepej ieye ne ngat nateku sendah nde;;Story/narrative
kuneken naleme edi amkn si aku lakuken pas oye die laus ne kas ku nde nu kan gedi kan;;Story/narrative
ku tanyak si ngo pengalamen tentang edi kuneningku kane ku sebut ken kae nine kan gedi cucok dak te gadis jau lah di;;Instructions
kae naleme ulang mengket tule te buah pake di dunia ini yang lama i y nna yang ada pada sejakhah;;Story/narrative
dokho plin lah yang kau plin lah si tejadi pagi ngo di kalsium okin be kaule nste ne kas pas ne ian hwsu iye pe pagi kasn;;Story/narrative
kune ken naleme sendah nde gedi Olin me gedi kan aju gedi kimu gedi kau kan ps kan jdey;;Story/narrative
kae nelem aku pe dhi kau pe gei aku malet da kune ken gedi masen be kan gedi aku made da kau pe h;;Story/narrative
kae ngat gei di nu kan ngat ne aku nalet kutih keknenne aku pagi iye oagi kas kas;;Story/narrative
kau kune ken naleme nde kau kas ku meju aku gedi nimu aku oeegdi kau nge da kauwmad nge da;;Story/narrative
amai pige kali kahi ale nde kau jau ano daku gedi Olin kas ne kas gedu kin kenen ne;;Story/narrative
kuneken neleme akupe nahan ken ate nesui nate ku oagi kau nayene kan gedi kas ne aku pe aku oe lais ne pagi lain ne kau pagi ke nage kaueb u nah kau nayekeu edi naye mu uwe kah kau anu;;Story/narrative
kau mal aku nde kae nelem aku tidak aku pe dak gei ksu nage ku pagi laus pldaoe oeg kaueh jau;;Story/narrative
akuepe jak kahi mejagung kadang mu aphi aku nikoj motoh kane dakeken udan edi nateku nde kine ngat nin cubebe kas ne be;;History
aku pe betueki kau khut ihe kkwjenw aku pe pagi laus bedi ne pagi nu;;History
kau pagi nate ki pagi amai mwbagw oye naku pagi lah aku gei kakejen ohe kai mehask ku mebwg;;Story/narrative
nau ken ate ku pagi kau lah naye ku kau plin las ku pagi Mevi nu aku pe gei kau lah di pagi pagi ngai kau natekeu pas kab gak di kdu;;Story/narrative
akuepe pagi laus me kalak kau nateku kau pe nge kau me nateku kakejen kau oas ku pagi kaus me kash hag yajsg;;Story/narrative
amak ne kau no nateku pagi uwe mefa masewjwilene kakehen iye nage natene amjn kas mebeu ajahw;;Story/narrative
kune cekhite ne aju pagi Mekauwnt ku lagi kas ku mebu kau lah di pagiwkau pe gei aku pe pagi pask ne bsb;;Story/narrative
kau lah di khut tuhan ne aku tekhe ale mew gedu kau lah di kau masih kekasihku gedu mahan kae;;History
kuen lamej baku pe pagi hedi miku ngat hejs pagi aju oe laue ne pagi kau lag pagi ake di di aju sakah ken;;Culture/Tourism
cekhiteken ken plin lah kau ano tekeh niu kas ne pagi oahi yang haf pavi di jahu jakh jsgsg aku pe bag;;Culture/Tourism
kune ken naleme kuneken naleme kune naleme ato model ne nde aku dmei si aku jage itkm kue hans kuen;;Culture/Tourism
kau nateku da kune kjneeken male aku pe gei Nemu kadang pe oagi nu aku pe gei nge pagi nde kau ne lah di;;Culture/Tourism
kau pe nage dalet yang tidak nemi au daleyen pegaye kaewnae aku na mate ku lain ne da kau k u aku nde pen ge;;Culture/Tourism
kau lah di kau pagi si aku temukan kas ne kau pah khut iye kau kau pe nge kuneken kau pe malet kau pe lain kauehe kau tidak majnwj;;Culture/Tourism
kuneken neleme akupe askye pe hdi kau pe gdi die khdi malet aku kau no aku pe aku naleme pakse kasu bemeh aku pe nd laus me kalak lain kau no akuaeb kajne kaune ekaj ns;;Culture/Tourism
kaume nateku si tuhu ne gednag akau oe aku hsv kau pe gedj kau pagi sie ai kau lupeken as pau nay;;Culture/Tourism
cekhiteken kae me naelem kas ne aku lauaken pas oye lau pagi neu kau lah di pah i jasn ns;;Culture/Tourism
au kau iye akhi oagi maley nae aku ingin mbane kae me gdi kau udahedi;;Culture/Tourism
aku cinte mbaku kau laus pagi nateku pagi kau lagjn ken lajn ken pagi nemu semshwh kahsy kshsg;;Culture/Tourism
kau lag dj pagi ale kiye mekhamah Tenga kau ndo pagi aku pe nagt ne dak kuneken laneh nsg;;Culture/Tourism
terutama si ku bahan bages gua edi me nyaman khut bersih;;Story/narrative
menurut q hal si terburuk bages dunie ende me kasus korupsi khoh khayakne;;Story/narrative
si bahan aku senang Edi me tentang kesuksesan q;;Story/narrative
si bahan aku sedih Edi me jaman waktu aku e ni pesantren;;Story/narrative
hal si Nemu bahan menggangu edi me khibut;;Story/narrative
si bahan aku senang mempelajari bahase lain Edi me kite etoh manfaat nya;;Culture/Tourism
si bahan kite hebat Edi me Nemu kita selesaikan masalah khut jeme dengan sabar;;Story/narrative
menurut q imbang pintar Edi iye khajin belajar ni khumah khut Ndak sombong;;Story/narrative
karene kejujuran edi me kunci jeme sukses seban kite jujur ngo pasti kite sukses;;Story/narrative
keputusan si ku bahan khut jeme lain Edi me selalu menepati janji si kite bahan;;Story/narrative
Edi ngo tentu aku senang karene lot perubahan ni bages ate q akhi;;Story/narrative
menurut q malet kae pe yang penting tau batas Edi plin;;Story/narrative
rencana khut khamah q edi yang penting saling percaye plin khut saling setie;;Story/narrative
care q menyelesaikan masalah Edi dengan keadaan sabar khut etoh kae permasalahan ne;;Instructions
pendapet tentang hubungan sehat Edi me saling percaye plin;;Story/narrative
si ku sukai ni khamah q akhi Edi iye perhatian khut aku;;Story/narrative
Edi ngo tentu jelas aku harus ikuti peraturan Edi karena aku bahan disiplin edi;;Story/narrative
si bahana kalak pintar Edi iye khajin belajar khut iy Ndak sombong;;Story/narrative
ketike aku ni pesantren pernah 1 kejadian Edi me aku kene botak ni pesantren ust q e suruhne panggil khang tue q tapi aku Ndak mau;;Story/narrative
si kami bahan khut imbang ketika minum ni kafe Edi cerita khut melelo;;Story/narrative
kalau aku sendah ni Pante pasti terutama Edi me Selfi khut mandi;;Story/narrative
ketika Bahanan q ni diterima dengan baik Edi plin pe ngo di anggap di cintai;;Story/narrative
ku buktiken piln supaya jeme yakin khut aku peduli khut iye;;Instructions
ketike aku nulis buku pasti judul buku e tentang ekonomi jaman sekarang;;Story/narrative
dhalani semampu ne, bue sendah memudhahken kite komunikasi jakhak ndauh;;Story/narrative
sehat bhahan tuhan patutu nisyukukhi, khajeki nggo mbue;;Story/narrative
ibafah be tuhan, patuh bhe khangtue, sedekah ulang lupe;;Story/narrative
